Job title,Company name,Location,posted,Experience,Career Level,Education Level,Salary,Job Categories,Skills and Tools,Job link,Company Link
DevOps Operations Specialist,B.TECH,"Nasr City, Cairo, Egypt ",Posted 1 month ago,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,IT/Software Development | Operations/Management | Engineering - Telecom/Technology,Logistics | Computer Science | Infrastructure | Networking | ERP | IT | Operations | Security,https://wuzzuf.net/jobs/p/nKOC8EdWS4CN-DevOps-Operations-Specialist-B-TECH-Cairo-Egypt?o=2228&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/B-Tech-Egypt-403
Network System Engineer,Egypt Kuwait Holding,"Giza, Giza, Egypt ",Posted 1 month ago,3 to 9 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Engineering - Telecom/Technology,network | Networking | Information Technology (IT) | Technology | Computer Science | Computer Engineering | computer | engineer | Information technology,https://wuzzuf.net/jobs/p/rSjNHIXTDt9L-Network-System-Engineer-Egypt-Kuwait-Holding-Giza-Egypt?o=2229&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Egypt-Kuwait-Holding-Egypt-40064
Administrative Assistant,Shiny White Dental Center ,"Heliopolis, Cairo, Egypt ",Posted 2 months ago,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Administration,Accounting | Business Administration | Personal Assistant | CFO Assistant | Arabic | English | Admin | Admin Assitant | Admin Assistant | Administration | Commerce | Assistant | Communication skills | Microsoft Office | Office management | Secretary,https://wuzzuf.net/jobs/p/bFkcFL3TX6Bk-Administrative-Assistant-Shiny-White-Dental-Center-Cairo-Egypt?o=2230&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Shiny-white-dental-center-Egypt-30357
Lead UI/UX Designer,Limbic Entertainment (Cairo Office),"Heliopolis, Cairo, Egypt ",Posted 1 month ago,More than 3 years,Manager ,Bachelor's Degree,Confidential,Creative/Design/Art | IT/Software Development | Engineering - Telecom/Technology,Ui/ux Design | UI/UX | UI | UX Design | Information Technology (IT) | UX,https://wuzzuf.net/jobs/p/BtWmkgqtFAap-Lead-UIUX-Designer-Limbic-Entertainment-Cairo-Office-Cairo-Egypt?o=2231&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Limbic-Entertainment--Cairo-Office--Egypt-72628
Lead Game Designer,Limbic Entertainment (Cairo Office),"Heliopolis, Cairo, Egypt ",Posted 1 month ago,More than 8 years,Manager ,Bachelor's Degree,Confidential,Creative/Design/Art | IT/Software Development | Engineering - Telecom/Technology,Game | Design | Game design | Games,https://wuzzuf.net/jobs/p/Nf5HOTqkvzP8-Lead-Game-Designer-Limbic-Entertainment-Cairo-Office-Cairo-Egypt?o=2232&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Limbic-Entertainment--Cairo-Office--Egypt-72628
Consultant,Shift Consulting,"Lisbon, Portugal ",Posted 1 month ago,0 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,IT/Software Development | Engineering - Telecom/Technology,english | graduate | business | Development | Sales | Solutions,https://wuzzuf.net/jobs/p/3w1vC7XoxqfK-Consultant-Shift-Consulting-Lisbon-Portugal?o=2233&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Shift-Consulting-Portugal-76285
Marketing Manager,The Room,"Cairo, Egypt ",Posted 1 month ago,3 to 5 years,Manager ,Bachelor's Degree,Confidential,Marketing/PR/Advertising,Manager | Marketing | Marketing manager | education | tech | digital marketing | partnership | Branding | campaigns | FMCG | Market Research | Marketing Campaigns | Marketing Strategies | Planning | media | Social Media,https://wuzzuf.net/jobs/p/CzPvnumDHoiu-Marketing-Manager-The-Room-Cairo-Egypt?o=2234&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/The-Room-Egypt-79929
Technical Office Engineer,Floortec,"Ismailia, Ismailia, Egypt ",Posted 1 month ago,4 to 7 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Engineering - Construction/Civil/Architecture,Civil | Technical Office Engineering | Design | Engineering | civil 3d | AutoCAD | Site Engineering,https://wuzzuf.net/jobs/p/npVeWSclhXUM-Technical-Office-Engineer-Floortec-Ismailia-Egypt?o=2235&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Floortech-Egypt-38619
Restaurant Manager,Blue Nile,"Zamalek, Cairo, Egypt ",Posted 1 month ago,10 to 15 years,Manager ,Bachelor's Degree,"Confidential, 12%  Service Charge",Hospitality/Hotels/Food Services | Operations/Management,Beverage | restaurant | Restaurant Management | Hotels | food and beverage | Financial Management | Management,https://wuzzuf.net/jobs/p/q4sroVGM0fLQ-Restaurant-Manager-Blue-Nile-Cairo-Egypt?o=2236&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Blue-Nile-Egypt-17532
Junior Python Developer,RDI,"Dokki, Giza, Egypt ",Posted 1 month ago,More than 1 year,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,IT/Software Development | Engineering - Telecom/Technology,Python | SQL | MySQL | RESTful | JavaScript | Django | Flask | Docker | CSS | HTML | Information Technology (IT) | API | Telecom Engineering,https://wuzzuf.net/jobs/p/QNYVMu7OFmo0-Junior-Python-Developer-RDI-Giza-Egypt?o=2237&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/RDI-Egypt-5083
Customer Support Specialist,NetEra,"Alexandria, Egypt ",Posted 1 month ago,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Customer Service/Support,Customer Support | Customer Service | Customer Care | Call Center | English,https://wuzzuf.net/jobs/p/4BSySmIgwNZN-Customer-Support-Specialist-NetEra-Alexandria-Egypt?o=2238&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/NeTEra-Egypt-21880
Technical Office Manager,Confidential Company,"Tanta, Gharbia, Egypt ",Posted 1 month ago,10 to 15 years,Manager ,Bachelor's Degree,Confidential,Engineering - Construction/Civil/Architecture,Construction | PMP | Civil Engineering | Technical Office Engineering | AutoCAD | Engineering | Civil | Revit | English | Communication | Communication Engineering,https://wuzzuf.net/jobs/p/RVrkZ7BxciK7-Technical-Office-Manager-Gharbia-Egypt?o=2239&l=sp&t=sj&a=software|search-v3|hpb|spbg,Confidential Company
Architect,Confidential Company,"Cairo, Egypt ",Posted 1 month ago,5 to 10 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Engineering - Construction/Civil/Architecture,Architecture | Auto cad | Construction | Revit | CAD | Engineering | Drawing,https://wuzzuf.net/jobs/p/hON0E8Ez1XIW-Architect-Cairo-Egypt?o=2240&l=sp&t=sj&a=software|search-v3|hpb|spbg,Confidential Company
